entry_id,country,participating_adults,non_participating_adults,participating_juniors,non_participating_juniors,booking_entry,stay_accomodation,event_organisation_rating,organisation_comments,course_planning_rating,planning_comments,social_programme_rating,programme_comments,event_comments,livestream_awareness,livestream_rating,website_provision_rating,event_info_rating,followed_via_social,social_media_content,improvement_comments,authority,transport_to_area,overnight_stay_location,transport_to_event,age,total_people,longitude,latitude
15,Other UK,4,0,0,0,Easy,self-catered,Excellent,"Walk to Start were excessive for senior competitors i.e walk 7km (2km course) Results service fantastic, commentary great, generated a great atmosphere",Good,Very rough for senior competitors. Helped 3 people to get moving again after falls on day 3 during my run(walk).,Not interested in social programme,NA,NA,Yes,NA,Average,Good,No,NA,should have given out hard copy notice of significant changes i.e. adding 1km on walk to start,NA,car,braco,car,41-60,4,NA,NA
16,Other UK,2,0,0,0,Average,campsite,Excellent,Good but screens in 2005 were much better than exclusionary Vimeo live to personal screens,Good,All good,Not interested in social programme,Ceilidh was awesome,NA,Yes,NA,Good,Good,No,NA,big screens like at glen affric which also got broadcast,NA,car,comrie,bus,> 60,2,NA,NA
17,Scotland,4,2,1,0,Very easy,own home,Excellent,NA,Excellent,NA,Not interested in social programme,NA,NA,Yes,Poor,Excellent,Excellent,No,NA,"a) check the printed programme for mistakes, like wrong postcode!! b) we all found it confusing that there were several different ways to get up to date info on the days; website, facebook, printed programme, daily news. it was too easy to miss things that were very relevant. we all 6 adults in our group missed the fact that the finish was very near the starts on day 2, which would have been very helpful as we had children competing.",NA,car,comrie,car,21-40,5,NA,NA
18,Other UK,2,0,0,0,Very easy,campsite,Good,NA,Excellent,NA,Average,NA,NA,Yes,NA,Good,Excellent,No,NA,NA,NA,car,dunkeld,car,41-60,2,NA,NA
19,Other UK,3,0,0,0,Very easy,self-catered,Good,Buses were great,Good,7 great events,Not interested in social programme,NA,"Like the format, hate the scoring system, though total time in elite was good.",Yes,Good,Good,Good,No,NA,"the results service was the best i have ever experienced.  some of the walks to the start / from the bus seem to have worried too much about the dangers.  esp bad was the walk from the bus to the event on day 2, when we were taken on a detour to avoid walking down a pavement.  my kids can walk down a pavement fine!",edinburgh,car,event campsite,car,> 60,3,-3.27825999,55.91119003
20,Scotland,2,0,2,0,Very easy,campsite,Excellent,It was brilliant. A quality family holiday. Thanks,Excellent,Enjoyed all courses. The children had really good courses as often they are too easy,Not interested in social programme,Only went to the Ceilidh. It was good,Format was perfect. Arenas great. Thought the livev streaming was excellent. Well done,Yes,NA,Excellent,Good,Yes,Good,can't wait for lochaber,NA,car,lochearnhead,car,41-60,4,NA,NA
21,Other UK,3,0,0,0,Very easy,self-catered,Excellent,NA,Good,NA,Good,NA,NA,Yes,NA,Excellent,Excellent,No,NA,NA,NA,car,comrie and tummel bridge,car,> 60,3,NA,NA
22,Rest of the World,1,0,0,0,Very easy,own home,Excellent,Really great event. Only issue was elite start times for the last day only came out at 11pm the night before making it difficult to plan timings with family.,Excellent,Really enjoyed elite courses,Excellent,NA,Enjoyed the middle distance races mixed in with the other elite races,Yes,Good,Excellent,Excellent,Yes,Excellent,NA,NA,bus,dunkeld,car,41-60,1,NA,NA
23,Other UK,2,0,0,0,Easy,self-catered,Good,"Appreciate the logistical difficulties of putting on these events but the first day walk to and from parking was a bit too long, especially when there was more walking to the start.",Good,As a not v good orienteer I loved the orange course round the golf course! For Scottish forests thought the going was ok and courses not too hard!,Good,NA,NA,No,Average,Good,Good,No,NA,NA,NA,train,comrie,car,21-40,2,NA,NA
24,Other UK,3,0,0,0,Very easy,self-catered,Good,NA,Good,NA,Not interested in social programme,NA,NA,Yes,NA,Good,Good,No,NA,NA,NA,car,wigton,car,41-60,3,NA,NA
25,Scotland,2,0,0,0,Very easy,self-catered,Excellent,NA,Excellent,NA,Not interested in social programme,NA,NA,Yes,NA,Average,Poor,No,NA,NA,NA,car,killin,car,> 60,2,NA,NA
26,Scotland,2,0,0,0,Very easy,hotel/B&B,Excellent,"I usually think Scots 6 is the best-organised event I go to, and this year was no exception. Arena WifI didn't always work (even when close enough) - unable to cope with the number of would-be users? Live results on the internet were good but not every venue had a phone signal. Printed results are invaluable as a fall-back when the electronic alternatives fail but were usually woefully out of date.",Good,"Two grumbles: planners should not tempt people to break the rules, and it was easier to cross the forbidden river on day two than scramble along the bank to the bridge. On day six, there were some rather small boulders used as control sites; I don't mind this but please don't lie in the control descriptions and describe a 40cm boulder as 1m high. But overall the standard was excellent, as usual.",Average,Tour of Drummond Castle Gardens was excellent. The talk on Scottish Wildlife less so. The presenter raised his voice at the start to ask whether he could be heard without the sound system. He then put the microphone away and spoke quietly for the talk.,"My old legs quite appreciate having a shorter distance after two long days. But I'd also go with the ""make best use of the areas"" comment.",Yes,Good,Excellent,Very poor,Yes,Average,you haven't mentioned trailo. the trailo was excellent; well planned and well resourced with helpers. (although the results were a little slow to appear on the website),NA,car,tullibardine,car,> 60,2,NA,NA
27,Other Europe,1,1,0,0,Easy,hotel/B&B,Average,Great website and helpful emails,Good,NA,Average,NA,NA,Yes,NA,Good,Excellent,No,NA,NA,NA,car,dunkeld,car,41-60,2,NA,NA
28,Scotland,3,0,0,0,Very easy,hostel,Excellent,Friendly,Excellent,NA,Excellent,NA,NA,Yes,Good,Excellent,Excellent,Yes,Average,NA,NA,car,killin,car,41-60,3,NA,NA
29,Scotland,1,0,0,0,Very easy,own home,Good,"Camping not as well set up or equipped in terms of set up,  separation of camping,  number of toilets as Dee side but loved the site and location.",Good,NA,Good,NA,NA,Yes,Good,Average,Good,Yes,Good,NA,highland,car,comrie only,car,41-60,1,-4.66091013,57.586689
30,Other UK,2,0,0,0,Easy,campsite,Good,Very efficient.,Good,"I was helping a junior run his first M10B on his own. The standard of white/M10B was variable, and too often included parts that were too difficult for a TD1 course.  Day 1: 10-11 the start of the ruined fence was not obvious on the ground  Day 4: start to 1 had a part with no line feature to follow Day 4: 7-8 path was largely covered by brashings and not obvious on the ground  No comments on other days.  A separate comment is that we should consider printing maps for these and similar courses at a larger scale as they often require controls very close together to comply with the TD1 guidelines. E.g Day 6 where the course was at exactly the correct standard, but some controls circles were partly overlapping.",Not interested in social programme,NA,"I prefer longer courses, but a good area that only  supports middle distance is much better than a poor long distance area.",Yes,NA,Average,Good,No,NA,"results service was quick and comprehensive, absolutely excellent.  much prefer to have download, arena, traders all in the same place, even if the finish is remote from them.",east dunbartonshire,car,glasgow,car,41-60,2,-4.22417021,55.9582901
31,Scotland,8,3,0,0,Very easy,self-catered,Excellent,NA,Excellent,NA,Not interested in social programme,NA,NA,Yes,NA,Excellent,Excellent,Yes,Good,livestream very long 15+ hours - a highlights cut? website difficult to navigate and find correct information on as is all cut up and illogical,edinburgh,car,comrie croft,car,41-60,16,-3.27825999,55.91119003
32,Scotland,3,0,2,0,Very easy,campsite,Excellent,Parking on the day was much better than previous 6 days,Excellent,Really enjoyed courses on day 5 Did find the standradr on the white course varied a lot on different days (day 6 it had 18 controls),Excellent,NA,NA,No,Average,Excellent,Average,Yes,Good,great event. thank you to all volunteers!,perth and kinross,car,dunkeld,car,21-40,6,-3.88479996,56.57529068
33,Other Europe,2,0,0,0,Very easy,campsite,Good,"It was extremely frustrating the way the maps were laid out at the start. Everyday everyone in my start time was on an even course, which lead to chaos trying to pick up the map as everyone was going to the same place for their maps. After chatting to people it seems others had this experience too.  I suggest avoiding this in the future.",Good,I think the uncrossable river issue on day 2 arose from urban course planning sneaking into forest this sport - in that it was used as a feature in route choice (going left or right as you would around a building). This is not necessary in forest orienteering where the landscape provides many more route choices.,Good,NA,NA,Yes,Good,Excellent,Excellent,Yes,Average,NA,NA,bus,comrie,bus,21-40,2,NA,NA
34,Other UK,1,1,0,0,Very easy,campsite,Excellent,NA,Good,NA,Not interested in social programme,NA,NA,Yes,NA,Average,Good,No,NA,NA,NA,car,perth,car,> 60,2,NA,NA
35,Other Europe,4,0,0,0,Very easy,self-catered,Excellent,NA,Excellent,Some of the less popular courses (for example W65S) did not seem to be to the same high standard as others.,Excellent,NA,NA,Yes,NA,Excellent,Excellent,No,NA,range of arena wifi seemed limited on some days.,NA,car,kinkell bridge,car,> 60,4,NA,NA
36,Other Europe,3,2,2,0,Average,hotel/B&B,Excellent,This was an extremely successful event.  Brilliant,Excellent,Excellent areas and courses.  We enjoyed the variety.,Average,Didn’t make it this year.,NA,Yes,NA,Good,Good,Yes,Good,we did the car parking on day 2.  having the c car parks split made it complex and volunteer  heavy.  the main field was boggy and we were very fortunate that it did not rain.,dumfries and galloway,car,perth,car,41-60,7,-4.02862978,55.09621811
37,Other UK,3,1,2,0,Average,self-catered,Poor,NA,Good,NA,Excellent,NA,NA,Yes,Excellent,Good,Good,No,NA,NA,west lothian,car,comrie,car,41-60,5,-3.60909009,55.89920044
38,Other Europe,4,5,1,3,Easy,self-catered,Excellent,"Really well planned, great locations, good mix of courses and great set up.",Excellent,NA,Good,NA,NA,Yes,Good,Good,Excellent,Yes,Excellent,NA,NA,car,sterling university campus,car,> 60,6,NA,NA
39,Other UK,1,0,0,0,Very easy,with friends,Good,NA,Average,NA,Good,NA,NA,Yes,Good,Excellent,Excellent,No,NA,results were really excellent - instantly available.  couldn't be better!,aberdeen,car,comrie,car,> 60,0,-2.20397997,57.1669693
40,Other UK,1,0,0,0,Very easy,self-catered,Excellent,"Didn’t like the long walks to assembly or starts, particularly difficult with small children and older adults.",Excellent,The white course on day 1 was just silly.,Good,Absolutely top notch,NA,Yes,NA,Excellent,Average,Yes,Average,NA,perth and kinross,car,perth,car,21-40,1,-3.88479996,56.57529068
41,Scotland,3,1,0,0,Very easy,own home,Good,NA,Average,NA,Not interested in social programme,NA,NA,No,Average,Average,Average,No,NA,NA,edinburgh,car,edinburgh,car,41-60,5,-3.27825999,55.91119003
42,Rest of the World,8,0,0,0,Easy,self-catered,Good,Details for cycling to each day would be really helpful.,Good,NA,Average,NA,NA,No,Good,Good,Excellent,No,NA,NA,NA,air,comrie,car,> 60,8,NA,NA
43,Scotland,7,2,0,0,Easy,own home,Excellent,"Very well organised, as always.",Excellent,"Fun,  challenging courses.",Not interested in social programme,Only attended the quiz- more teams possible?,NA,Yes,Excellent,Excellent,Excellent,No,NA,not keen on the remote finishes/arenas on a couple of days and the dog ban meant one of our party couldn't come to watch any events. made more irritating by the number of dogs that werein arena fields unchallenged.,NA,car,stanley,car,41-60,14,NA,NA
44,Other Europe,6,0,0,0,Easy,campsite,Good,NA,Excellent,NA,Not interested in social programme,NA,NA,Yes,NA,Excellent,Excellent,No,NA,NA,NA,car,crieff,car,21-40,6,NA,NA
45,Other UK,2,0,0,0,Easy,campsite,Excellent,NA,Good,All good. Day 4 was a bit disappointing though as no technical. Thought day 5 was going to be in the Classic bit but didn’t detract from the event,Good,NA,NA,Yes,NA,Good,Good,No,NA,NA,NA,car,crieff,car,> 60,2,NA,NA
46,Scotland,2,0,0,0,Very easy,self-catered,Excellent,NA,Good,NA,Good,NA,NA,Yes,NA,Excellent,Excellent,No,NA,found it quite difficult to get all the information in one place for each day - needed paper info and website and daily news - would be a easier if able to access all in one place,edinburgh,train,comrie,cycle,41-60,2,-3.27825999,55.91119003
47,Other UK,3,0,0,0,Very easy,other,Excellent,NA,Good,NA,Excellent,NA,The middle distance races made excellent use of the two areas.,Yes,Excellent,Excellent,Good,No,NA,having the event campsite closer to a town so you can access shops by foot makes it much easier without cars.,NA,car,comrie,car,41-60,3,NA,NA
48,Other UK,2,6,0,0,Very easy,hotel/B&B,Excellent,"Water. This is something Britain is poor at providing and Scotland is even worse. this sport is not a sport where we take backpacks, so water needs to be provided for everyone expecting to take over an hour on their course. It is simply not fun and often dangerous in summer without. Also, it is not hard to provide water in assembly. OOCup successfully do it for over 2000 competitors with jerry cans along a bench, so why can't you? Day 6 was a welcome change. Avoiding water rationing/stress both during and after each race will really aid enjoyment.",Excellent,NA,Not interested in social programme,NA,A variety of course lengths is good.,Yes,Poor,Good,Excellent,No,NA,"the log on to the arena wifi is very slow to respond (minutes), but once on it was very fast.",NA,car,comrie,car,41-60,8,NA,NA
49,Other UK,1,1,0,0,Very easy,self-catered,Excellent,NA,Excellent,NA,Excellent,NA,NA,Yes,Excellent,Excellent,Excellent,No,NA,having an event bus enhances my enjoyment hugely. please keep providing one. thanks.,NA,car,crieff,car,> 60,2,NA,NA
50,Scotland,4,0,0,0,Very easy,own home,Good,NA,Excellent,technical difficulty could be slightly greater and courses tracked up a lot,Excellent,NA,NA,Yes,Good,Excellent,Excellent,Yes,Good,NA,NA,car,comrie,car,21-40,4,NA,NA
51,Other Europe,2,0,0,0,Very easy,hotel/B&B,Good,NA,Good,NA,Not interested in social programme,NA,NA,Yes,Good,Good,Excellent,No,NA,NA,NA,car,comrie,car,> 60,2,NA,NA
52,Other UK,2,0,0,0,Very easy,self-catered,Good,Have distance markers on the routes to the Start so you know how much further you still have to go!,Average,NA,Good,NA,NA,Yes,Good,Good,Excellent,No,NA,NA,NA,car,muthill,car,> 60,2,NA,NA
53,Other UK,1,1,3,0,Very easy,self-catered,Excellent,Things went well because the weather was good not sure how well things would have gone if the weather had been bad.,Excellent,NA,Excellent,NA,Having a shorter race after 2 longer days was good although any benefit of the shorter day on day 6 was negated by the quite challenging 2k walk to the start.,Yes,Good,Excellent,Good,No,NA,there was too much driving required to take part in the events. walks to the starts on most days were too long and especially on day 6 too challenging for people with limited mobility. i personally found the week too tiring and am seriously considering making this the last 6-days i attend.,scottish borders,car,comrie,car,41-60,5,-2.85865998,55.52593994
54,Scotland,2,0,2,0,Easy,campsite,Excellent,"Didn't notice it really, so must have been very well done.",Good,"Excellent, hard routes in some great areas.",Not interested in social programme,NA,"Like the format, nice to have a day off in the middle.",Yes,NA,Good,Good,No,NA,try to be as lucky with the weather as you were this year! this was our first s6d and i understand it was a particularly good event campsite - following this model of using an actual campsite rather than just a school playing field or suchlike would be great.,NA,car,comrie,car,41-60,4,NA,NA
55,Rest of the World,1,0,0,0,Very easy,self-catered,Excellent,NA,Excellent,NA,Not interested in social programme,NA,NA,Yes,NA,Excellent,Excellent,No,NA,NA,edinburgh,car,comrie,car,21-40,1,-3.27825999,55.91119003
56,Scotland,2,0,3,0,Easy,self-catered,Excellent,Very slick. Route suggestions to Day 5 involved big detour (from Crieff) but better safe than sorry.,Excellent,NA,Not interested in social programme,NA,NA,Yes,NA,Excellent,Excellent,No,NA,NA,NA,car,crieff,car,41-60,5,NA,NA
57,Other UK,2,0,0,0,Easy,self-catered,Good,NA,Good,"Slightly disappointed by day 4, thought the terrain was poor in relation to other days.  Added to which the sheer size of the mapped area led to some courses (EG M21E) being less interesting / challenging than they perhaps would have been with a smaller area which could have resulted in more creative courses. By contrast, a couple of days saw some quite small areas being used and the courses on these days were very good indeed, making  maximum use of the land. The significant downhill aspect to courses on several days (IE climb to start then significant net loss of height during the course) was much appreciated!",Good,NA,NA,No,Average,Good,Good,No,NA,NA,NA,car,crieff,car,< 21,2,NA,NA
58,Other Europe,2,0,2,0,Average,hotel/B&B,Excellent,NA,Excellent,NA,Not interested in social programme,NA,Although I would prefer to run a great technical Middle than a long on a rubbish area,Yes,NA,Good,Average,No,NA,NA,NA,air,killin,car,41-60,4,NA,NA
59,Other UK,1,0,0,0,Very easy,campsite,Good,Pretty good,Good,Day 3 map had some of the windblown clearly represented.,Not interested in social programme,NA,NA,Yes,Good,Average,Average,No,NA,NA,NA,car,comrie,car,41-60,1,NA,NA
60,Other Europe,2,1,0,0,Easy,hotel/B&B,Good,NA,Good,NA,Average,NA,NA,No,Average,Excellent,Excellent,No,NA,NA,highland,car,comrie and perth,car,> 60,3,-4.66091013,57.586689
61,Other UK,1,1,0,0,Very easy,self-catered,Excellent,NA,Excellent,"Days 1 & 3 seemed much tougher than 5 & 6. That could reflect on me (!), but didn't seem totally consistent",Not interested in social programme,NA,"Would have liked to know, when entering, that some days were going to be middle distance. I don't run all days, so it could influence which days I choose to enter.",Yes,NA,Excellent,Excellent,No,NA,NA,NA,car,comrie,car,> 60,2,NA,NA
62,Other Europe,3,0,0,0,Easy,self-catered,Good,NA,Average,NA,Good,NA,NA,Yes,NA,Good,Good,No,NA,"very disappointed with the level of pre-event training on offer leading up to the event and in the locality of the event.  we have used the training areas extensively in the past.  lack of information on the website about training and it's type leading up to the event also made it difficult to plan/arrange accommodation.  in the end, we cancelled a week's booking preceding the event and stayed at home.   we hope it is possible to have better training options in 2021 and that details are released early enough for accommodation bookings.",NA,car,lochlane & scone,car,21-40,3,NA,NA
63,Other UK,2,0,0,0,Very easy,hotel/B&B,Excellent,Great areas close together,Excellent,High standard of technical challenge,Not interested in social programme,Would liked to have done the quiz but had a commitment that evening,I liked the mix of events. For me it’s the quality of the areas that is most important,Yes,NA,Good,Good,No,NA,access to real time results was great,NA,car,comrie,car,> 60,2,NA,NA
64,Other UK,4,0,0,0,Very easy,self-catered,Good,"Results service excellent, and each day’s organisation seemed to run well.  Some good new areas; the event atmosphere worked best when finish and event arena were in the same place and walks to assembly were short.",Good,NA,Good,NA,NA,Yes,Good,Good,Good,Yes,Good,need to make clearer in the published rules how to differentiate tied scores from 4 events,glasgow,car,killin,car,41-60,4,-4.21478987,55.87649155
65,Other UK,2,0,0,0,Very easy,campsite,Excellent,You could provide water along the course at least once per long.,Excellent,NA,Not interested in social programme,NA,NA,Yes,NA,Excellent,Excellent,No,NA,NA,NA,car,perth,car,> 60,2,NA,NA
66,Other UK,1,0,2,0,Very easy,self-catered,Excellent,We were a bit annoyed by the drive to Day 5 (up the A9 to ballanluig) and we wanted a livestream screen IN THE AREA as we didn't have signal to stream and better wifi for results,Excellent,Annoyed at cancelled leg on day 2,Not interested in social programme,I liked the celiadh,NA,Yes,Excellent,Excellent,Excellent,Yes,Excellent,NA,NA,car,perth,car,41-60,4,NA,NA
67,Scotland,3,0,0,0,Very easy,own home,Excellent,"Disappointing ability to include dogs in the day.  It feels like they are beginning to be made unwelcome, which if is the case will mean we stop attending.",Excellent,NA,Excellent,NA,NA,Yes,NA,Excellent,Excellent,Yes,Excellent,"there is too high an expectation that competitors have access to internet and can view results and daily updates at will.  this was particularly true in respect of the situation regarding the encouragement for competitors to disqualify themselves, which they could only have done if they were constantly trawling the website and able to respond in the timeframes required.",NA,car,balquhidder,car,41-60,3,NA,NA
68,Other UK,1,2,0,0,Very easy,self-catered,Excellent,Good car parking Friendly volunteers Good information via the web,Excellent,"Good quality courses M60 could, maybe, have spent more time in the woods Middle distance races a welcome innovation",Average,NA,See above Middle distance courses well planned and fun,Yes,Good,Good,Good,No,NA,the frequently updated results were great,NA,car,crieff,car,> 60,2,NA,NA
69,Other UK,15,0,0,0,Very easy,self-catered,Excellent,21E start times on last day was poor. Needed them earlier (or at least provisional/ a base time so they could be calculated),Excellent,"Day 4 was more of a fell running course, enjoyable but not very technical.",Not interested in social programme,NA,Maybe could have swapped Day 1 and Day 4 so there weren't 2 back to back long races (given the second long race was World Ranking event),Yes,NA,Excellent,Excellent,No,NA,NA,NA,car,comrie croft,car,> 60,16,NA,NA
70,Rest of the World,2,0,0,0,Very easy,hotel/B&B,Excellent,NA,Good,NA,Good,NA,NA,Yes,NA,Average,Good,No,NA,NA,NA,air,st fillans,car,> 60,2,NA,NA
71,Scotland,3,1,0,0,Very easy,self-catered,Excellent,Not used campsite and bus before but found it worked out really well - stress free driving all week. Campsite very friendly and will use again Lovely location.,Excellent,NA,Not interested in social programme,NA,NA,Yes,Good,Good,Good,No,NA,quickest results service i have known - instant. very good.,NA,car,comrie,car,> 60,4,NA,NA
72,Other UK,2,0,0,0,Very easy,campsite,Excellent,NA,Good,NA,Not interested in social programme,NA,NA,Yes,NA,Good,Good,Yes,Good,NA,NA,car,acharn,car,> 60,2,NA,NA
73,Scotland,1,1,0,0,Very easy,self-catered,Excellent,NA,Excellent,NA,Not interested in social programme,NA,NA,Yes,NA,Excellent,Excellent,No,NA,NA,NA,car,stirling,car,> 60,2,NA,NA
74,Other UK,1,0,0,0,Easy,self-catered,Good,NA,Average,NA,Not interested in social programme,NA,NA,Yes,NA,Excellent,Average,Yes,Average,we greatly missed the printed daily newsletter.. the local wifi never worked with our kit. i will sign up for facebook after hell freezes over.,south ayrshire,car,comrie,car,21-40,1,-4.72901011,55.23006821
75,Other UK,1,2,0,0,Very easy,hostel,Excellent,Fantastic.  Don't really like Fabian4 for entries - much prefer SIentries,Excellent,NA,Excellent,Didn't actually attend any.,NA,No,Very poor,Excellent,Excellent,No,NA,had problems using arena wifi - generally couldn't get it to work.,edinburgh,car,comrie,car,41-60,2,-3.27825999,55.91119003
76,Other UK,2,0,0,0,Very easy,campsite,Excellent,NA,Excellent,Day 4 was weaker than others - seemed area was chosen to provide runnability over navigational challenge,Good,NA,NA,Yes,NA,Excellent,Average,No,NA,"could run trail-os at main events (popular at jk and white rose). string/off-string courses were excellent. more information for cyclists would be useful, e.g. the locations of arenas.",NA,car,birnam,car,> 60,2,NA,NA
77,Scotland,2,0,2,0,Very easy,campsite,Excellent,NA,Excellent,Day 2. Detail obscured by course lines and who allowed legs with an obvious cheat built in? (the river) Surely this should have been obvious. M60L on day 5 mainly TD4. Very disappointing. Rest excellent.,Good,NA,NA,Yes,Good,Excellent,Excellent,No,NA,we had no internet access where we stayed. please bring back the printed news.,NA,car,"garrow, south of kenmore",car,41-60,4,NA,NA
78,Rest of the World,8,0,0,0,Easy,campsite,Good,NA,Average,NA,Not interested in social programme,NA,NA,Yes,NA,Good,Average,No,NA,NA,falkirk,car,comrie,car,41-60,8,-3.77060008,55.99604034
79,Other UK,4,0,0,0,Very easy,self-catered,Excellent,Walks to arena/start were somewhat long,Excellent,Liked that colour courses were punching start,Excellent,NA,NA,Yes,NA,Excellent,Excellent,No,NA,choose areas where there is less influence of tracks. the race results  in some classes was dominanted by the order of running and which days you had the last three slots.,NA,car,"crieff, stanley",car,> 60,4,NA,NA
