club,type,gender,dob,renewal_status
4,Junior,Male,2009,Renewal
17,Senior,Male,1976,New
17,Junior,Male,2013,Renewal
12,Junior,Male,2010,New
12,Junior,Male,2005,New
6,Senior,Male,1981,New
8,Senior,Female,1972,New
18,Senior,Male,1984,New
12,Junior,Female,2012,New
11,Junior,Female,2013,Renewal
6,Senior,Male,1975,New
3,Senior,Male,1954,New
9,Junior,Male,2001,New
2,Junior,Female,1999,New
2,Junior,Female,1999,New
16,Junior,Female,2009,Renewal
4,Senior,Female,1983,Renewal
6,Junior,Male,2004,New
5,Junior,Male,2008,Renewal
18,Senior,Male,1965,Renewal
19,Senior,Male,1965,Renewal
2,Senior,Male,1981,New
6,Junior,Male,2011,Renewal
12,Junior,Male,2014,New
13,Senior,Female,1980,Renewal
8,Senior,Female,1946,New
1,Senior,Female,1991,Renewal
10,Senior,Female,1996,New
15,Junior,Female,2003,Renewal
17,Junior,Male,2013,New
2,Senior,Male,1980,New
5,Senior,Male,1977,New
6,Senior,Male,1974,New
1,Senior,Male,1929,New
17,Senior,Female,1958,Renewal
6,Senior,Male,1973,New
4,Senior,Male,1977,New
12,Senior,Female,1975,New
6,Senior,Male,1973,New
9,Senior,Male,1998,Renewal
17,Junior,Male,2005,Renewal
12,Junior,Female,2010,New
17,Junior,Female,2011,Renewal
2,Senior,Male,1968,Renewal
12,Junior,Female,2013,New
12,Senior,Female,1975,Renewal
8,Junior,Male,2005,New
12,Junior,Male,2014,New
4,Junior,Male,2009,Renewal
6,Junior,Female,2012,New
12,Senior,Male,1970,Renewal
17,Senior,Female,1958,New
19,Senior,Female,1956,Renewal
16,Senior,Male,1969,Renewal
18,Senior,Female,1980,New
15,Junior,Male,2009,Renewal
4,Junior,Male,2002,Renewal
10,Senior,Female,1997,New
12,Senior,Male,1970,Renewal
12,Senior,Female,1967,Renewal
16,Senior,Male,1969,New
1,Senior,Female,1991,New
6,Senior,Male,1971,New
15,Junior,Male,2014,Renewal
3,Junior,Female,2009,New
12,Junior,Male,2009,Renewal
19,Senior,Female,1973,New
6,Junior,Female,2012,New
5,Junior,Male,2005,New
9,Senior,Male,1983,New
8,Junior,Female,2010,New
12,Senior,Male,1984,New
19,Junior,Male,2010,Renewal
8,Junior,Male,2005,New
9,Senior,Male,1965,Renewal
8,Senior,Female,1974,New
1,Senior,Female,1991,New
16,Senior,Female,1988,New
12,Junior,Female,2008,New
16,Senior,Male,1971,Renewal
6,Junior,Male,2003,New
9,Senior,Male,1966,Renewal
6,Junior,Female,2007,New
12,Junior,Female,2011,Renewal
8,Senior,Female,1946,New
5,Junior,Female,2011,New
9,Senior,Male,1929,Renewal
15,Junior,Male,2004,Renewal
6,Junior,Female,2005,New
8,Junior,Male,2011,Renewal
13,Senior,Female,1994,New
6,Junior,Male,2006,New
8,Senior,Male,1988,New
8,Senior,Male,1984,New
4,Senior,Female,1960,Renewal
12,Junior,Female,2013,New
8,Senior,Female,1994,New
5,Senior,Female,1974,New
2,Junior,Female,2006,New
5,Senior,Male,1972,New
15,Senior,Male,1944,Renewal
6,Senior,Female,1970,Renewal
5,Senior,Male,1976,New
13,Senior,Female,1980,Renewal
6,Senior,Female,1981,Renewal
15,Junior,Male,2011,New
6,Senior,Male,1962,Renewal
6,Senior,Male,1981,Renewal
12,Junior,Female,2014,Renewal
6,Senior,Male,1954,Renewal
12,Junior,Female,2009,Renewal
16,Senior,Male,1971,Renewal
12,Junior,Male,2012,New
17,Senior,Female,1973,Renewal
8,Senior,Male,1977,Renewal
8,Senior,Male,1983,Renewal
4,Senior,Male,1945,New
12,Senior,Female,1967,New
8,Junior,Female,2007,Renewal
12,Junior,Male,2007,Renewal
12,Junior,Female,2013,Renewal
12,Senior,Female,1973,New
6,Senior,Male,1984,New
11,Junior,Male,2011,New
2,Senior,Male,1959,New
16,Senior,Male,1971,Renewal
5,Senior,Female,1974,New
17,Senior,Male,1958,New
5,Junior,Male,2010,New
16,Senior,Male,1971,Renewal
12,Senior,Female,1967,Renewal
4,Junior,Female,2004,Renewal
12,Junior,Female,2010,New
8,Junior,Male,2006,Renewal
6,Junior,Male,2003,New
8,Junior,Female,2012,New
14,Senior,Female,1961,New
6,Senior,Female,1971,New
13,Junior,Male,2012,New
12,Junior,Male,2010,Renewal
12,Senior,Male,1975,Renewal
3,Senior,Female,1974,New
13,Junior,Female,2004,New
19,Junior,Male,2011,New
17,Junior,Male,2005,New
18,Senior,Male,1994,New
15,Junior,Male,2009,Renewal
8,Junior,Female,2002,New
15,Junior,Female,2008,Renewal
2,Senior,Male,1980,New
12,Junior,Male,2012,Renewal
9,Senior,Male,1998,New
5,Senior,Male,1964,New
8,Junior,Male,2004,New
10,Junior,Male,1999,New
6,Senior,Male,1979,New
19,Senior,Male,1953,Renewal
12,Junior,Female,2006,New
12,Junior,Female,2007,New
7,Senior,Male,1997,New
8,Senior,Female,1977,Renewal
6,Senior,Male,1984,Renewal
7,Senior,Female,1996,New
12,Junior,Female,2015,New
17,Senior,Female,1990,Renewal
4,Junior,Male,2002,Renewal
12,Junior,Male,2014,Renewal
12,Senior,Male,1970,Renewal
19,Senior,Female,1978,Renewal
6,Junior,Female,2005,New
12,Junior,Male,2003,Renewal
3,Senior,Male,1987,New
12,Senior,Female,1970,New
4,Junior,Male,2012,Renewal
19,Junior,Female,2011,New
9,Senior,Male,1958,Renewal
6,Junior,Male,2004,New
8,Senior,Male,1973,Renewal
5,Senior,Male,1959,New
12,Senior,Male,1991,Renewal
18,Senior,Female,1977,New
5,Senior,Male,1969,New
6,Junior,Female,2013,Renewal
19,Junior,Male,2011,New
12,Junior,Male,2008,New
8,Senior,Male,1961,New
5,Senior,Female,1978,New
8,Junior,Female,2012,New
16,Senior,Male,1969,Renewal
1,Junior,Female,2011,New
12,Junior,Female,2013,New
3,Senior,Female,1965,New
6,Senior,Male,1947,Renewal
12,Junior,Female,2014,New
18,Senior,Male,1954,Renewal
18,Senior,Male,1975,New
18,Junior,Female,2010,Renewal
16,Junior,Female,2012,Renewal
19,Junior,Male,2011,New
12,Junior,Male,2011,New
12,Senior,Male,1973,New
6,Senior,Female,1982,New
12,Junior,Female,2013,New
6,Senior,Female,1978,New
9,Senior,Female,1962,New
2,Senior,Male,1965,New
12,Junior,Male,2012,New
6,Senior,Female,1993,New
12,Senior,Female,1972,New
6,Junior,Female,2009,Renewal
6,Senior,Male,1976,New
19,Senior,Male,1960,Renewal
13,Junior,Male,2008,New
18,Junior,Male,2000,New
17,Senior,Female,1990,New
16,Senior,Female,1956,Renewal
15,Senior,Male,1960,New
8,Junior,Female,2014,New
12,Junior,Female,2011,New
5,Junior,Male,2003,New
16,Senior,Male,1945,Renewal
17,Senior,Male,1965,Renewal
4,Junior,Male,2012,Renewal
5,Senior,Male,1980,New
19,Senior,Female,1977,New
4,Senior,Male,1969,New
12,Junior,Male,2014,New
15,Junior,Male,2004,Renewal
18,Junior,Female,2011,New
12,Senior,Female,1974,Renewal
6,Senior,Male,1947,Renewal
15,Senior,Female,1991,Renewal
12,Junior,Male,2012,New
12,Junior,Female,2005,New
5,Junior,Female,2007,New
12,Junior,Female,2013,New
8,Junior,Male,2005,Renewal
12,Junior,Male,2008,Renewal
15,Senior,Female,1946,Renewal
5,Junior,Female,2011,New
12,Junior,Male,2014,New
3,Senior,Female,1972,New
6,Senior,Female,1954,Renewal
5,Senior,Male,1972,New
15,Senior,Male,1952,Renewal
8,Junior,Female,2008,New
8,Senior,Female,1980,Renewal
8,Senior,Female,1946,Renewal
17,Junior,Male,2007,Renewal
6,Junior,Female,2011,New
6,Senior,Female,1970,New
17,Senior,Female,1971,New
16,Senior,Female,1973,Renewal
4,Junior,Male,2018,New
12,Junior,Male,2010,New
16,Senior,Male,1950,Renewal
9,Senior,Male,1958,New
8,Junior,Male,2006,New
2,Senior,Male,1957,New
17,Junior,Male,2007,Renewal
12,Junior,Male,2012,Renewal
8,Senior,Female,1994,New
12,Junior,Male,2015,New
12,Junior,Female,2007,New
18,Senior,Male,1978,New
18,Senior,Female,1977,New
19,Junior,Male,2011,New
15,Senior,Male,1952,New
12,Junior,Female,2013,New
12,Senior,Female,1975,New
13,Junior,Male,2012,New
13,Senior,Male,1987,New
10,Junior,Female,2004,New
17,Junior,Male,2013,New
19,Junior,Male,2006,Renewal
9,Junior,Female,2009,Renewal
5,Junior,Female,2009,New
3,Senior,Female,1974,New
12,Junior,Female,2008,New
6,Senior,Male,1973,Renewal
6,Senior,Male,1971,New
8,Junior,Female,2010,New
16,Senior,Male,1945,Renewal
6,Senior,Female,1973,New
3,Senior,Male,1964,New
18,Senior,Male,1995,New
12,Junior,Female,2010,New
12,Junior,Female,2008,New
9,Senior,Male,1971,Renewal
8,Senior,Male,1984,Renewal
6,Senior,Male,1954,New
12,Junior,Female,2014,Renewal
6,Senior,Female,1950,New
12,Junior,Female,2013,New
18,Senior,Female,1971,Renewal
12,Junior,Female,2013,New
6,Senior,Female,1990,New
12,Junior,Male,2015,New
15,Junior,Male,2009,Renewal
5,Senior,Female,1952,Renewal
18,Senior,Female,1977,New
4,Senior,Female,1983,New
5,Junior,Female,2013,New
6,Senior,Female,1960,New
8,Junior,Female,2002,Renewal
15,Junior,Female,2008,New
4,Junior,Male,2008,Renewal
3,Junior,Female,2001,Renewal
5,Junior,Male,2010,New
8,Junior,Male,2007,Renewal
1,Senior,Male,1958,New
9,Junior,Female,2009,New
4,Junior,Female,2009,New
16,Senior,Female,1988,New
18,Senior,Male,1968,New
17,Junior,Female,2009,New
6,Junior,Female,2006,Renewal
1,Senior,Male,1943,New
7,Senior,Female,1995,Renewal
8,Senior,Male,1956,New
1,Senior,Female,1946,Renewal
8,Senior,Female,1980,Renewal
15,Junior,Male,2007,Renewal
4,Junior,Male,2013,New
17,Senior,Male,1965,New
19,Junior,Male,2013,New
6,Senior,Male,1962,Renewal
3,Junior,Female,2013,New
16,Junior,Male,2014,New
19,Senior,Male,1981,New
5,Senior,Female,1979,New
3,Senior,Female,1972,New
12,Junior,Male,2014,New
6,Senior,Male,1970,Renewal
6,Senior,Male,1971,New
12,Junior,Female,2003,New
6,Junior,Male,2004,Renewal
15,Junior,Male,2009,Renewal
13,Junior,Male,2009,Renewal
8,Junior,Male,2006,Renewal
17,Junior,Female,2009,New
6,Senior,Male,1976,New
16,Senior,Male,1950,Renewal
18,Senior,Male,1954,New
5,Junior,Male,2012,New
15,Senior,Male,1952,New
17,Junior,Male,2006,Renewal
6,Junior,Male,2015,New
18,Junior,Male,2010,Renewal
18,Junior,Male,2014,New
12,Junior,Female,2009,New
3,Senior,Male,1964,New
8,Junior,Female,2007,Renewal
12,Junior,Male,2015,Renewal
12,Junior,Female,2013,Renewal
8,Senior,Female,1963,Renewal
12,Junior,Female,2008,New
2,Senior,Male,1976,New
5,Junior,Female,2009,New
8,Junior,Male,2012,New
12,Junior,Male,2007,Renewal
9,Senior,Male,1965,Renewal
8,Junior,Male,2005,New
17,Junior,Female,2011,Renewal
8,Senior,Male,1958,New
10,Junior,Female,1999,Renewal
4,Junior,Male,2009,Renewal
6,Senior,Male,1954,Renewal
12,Junior,Male,2015,Renewal
5,Senior,Male,1970,New
9,Senior,Male,1958,New
19,Senior,Female,1978,Renewal
5,Junior,Male,2015,New
10,Senior,Female,1996,New
8,Senior,Female,1979,Renewal
9,Senior,Male,1979,Renewal
3,Junior,Male,2000,New
17,Senior,Male,1965,New
3,Junior,Female,2004,New
17,Junior,Male,2011,Renewal
18,Junior,Female,2017,Renewal
3,Senior,Male,1987,New
4,Junior,Male,2007,Renewal
6,Junior,Female,2010,New
8,Junior,Male,2005,New
12,Senior,Male,1973,Renewal
8,Senior,Female,1968,New
12,Junior,Male,2014,Renewal
6,Junior,Female,2008,New
12,Junior,Female,2009,New
14,Senior,Female,1980,Renewal
1,Senior,Male,1967,New
5,Senior,Male,1959,New
3,Junior,Female,2009,Renewal
4,Junior,Female,2009,Renewal
5,Senior,Female,1973,New
19,Senior,Female,1978,New
10,Junior,Male,2000,New
6,Junior,Male,2004,New
2,Senior,Male,1980,New
8,Junior,Female,2008,New
3,Senior,Female,1965,New
6,Senior,Female,1959,New
9,Senior,Female,1964,Renewal
9,Senior,Male,1965,New
19,Senior,Male,1981,New
5,Senior,Female,1979,New
18,Senior,Female,1974,New
6,Senior,Female,1977,New
9,Senior,Female,1962,Renewal
8,Junior,Female,2006,Renewal
18,Senior,Female,1977,New
5,Junior,Female,2009,New
8,Senior,Male,1967,Renewal
8,Senior,Female,1978,New
15,Junior,Female,2003,Renewal
5,Senior,Male,1970,New
12,Junior,Female,2013,New
17,Senior,Male,1965,New
5,Senior,Male,1980,New
5,Senior,Male,1976,New
6,Senior,Male,1975,New
8,Junior,Male,2008,Renewal
12,Junior,Male,2010,Renewal
4,Junior,Male,2013,New
4,Senior,Male,1986,New
15,Junior,Female,2003,Renewal
18,Senior,Male,1968,Renewal
15,Junior,Female,2003,Renewal
6,Senior,Male,1979,New
18,Senior,Female,1971,Renewal
8,Senior,Male,1958,New
15,Junior,Male,2005,Renewal
15,Junior,Male,2014,New
15,Junior,Male,2004,Renewal
6,Senior,Male,1979,New
12,Junior,Male,2008,Renewal
4,Senior,Female,1976,Renewal
18,Junior,Female,2006,New
18,Senior,Female,1977,New
19,Senior,Male,1938,Renewal
8,Senior,Male,1947,New
12,Junior,Male,2013,New
5,Senior,Male,1964,New
12,Senior,Male,1974,Renewal
6,Senior,Female,1960,New
8,Senior,Female,1981,Renewal
6,Senior,Female,1970,New
15,Junior,Male,2009,Renewal
11,Senior,Male,1971,New
5,Senior,Male,1959,Renewal
5,Senior,Female,1952,New
19,Senior,Female,1978,Renewal
8,Junior,Male,2008,New
18,Senior,Male,1971,Renewal
3,Senior,Female,1972,New
8,Senior,Female,1977,Renewal
17,Junior,Female,2001,Renewal
5,Senior,Male,1964,New
